Staten Island Rolling Sales File.  All Sales From May 2016 - April 2017.,,,,,,,,,,,,,,,,,,,,
Sales File as of 5/1/2017  Co-op Sales Files as of 5/5/2017,,,,,,,,,,,,,,,,,,,,
Neighborhood Names and Descriptive Data as of 1/6/2017,,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6279,166, ,A1,164 NORTH RAILROAD ST                    ,            ,10312, 1 , -   , 1 ," 4,000 "," 2,138 ",1975,1,A1, -   ,9/28/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6280,20, ,A1,396 EDGEGROVE AVENUE                     ,            ,10312, 1 , -   , 1 ," 8,400 "," 3,600 ",1986,1,A1," 780,000 ",10/31/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6287,48, ,A1,336 RATHBUN AVENUE                       ,            ,10312, 1 , -   , 1 ," 4,000 "," 1,872 ",1975,1,A1, -   ,11/9/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6297,19, ,A1,442 LAMONT AVENUE                        ,            ,10312, 1 , -   , 1 ," 8,000 "," 2,148 ",1970,1,A1, 10 ,7/28/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6298,32, ,A2,190 HEENAN AVENUE                        ,            ,10312, 1 , -   , 1 ," 4,000 "," 1,932 ",1975,1,A2, -   ,6/9/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6299,66, ,A2,131 RAMONA AVENUE                        ,            ,10312, 1 , -   , 1 ," 6,000 "," 1,949 ",1974,1,A2," 635,000 ",8/24/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6300,63, ,A1,441 RATHBUN AVENUE                       ,            ,10312, 1 , -   , 1 ," 4,000 "," 2,083 ",1970,1,A1," 675,000 ",9/20/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6301,60, ,A1,475 RENSSELAER AVENUE                    ,            ,10312, 1 , -   , 1 ," 4,000 "," 2,152 ",1970,1,A1, -   ,1/9/2017
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6320,1, ,A2,184 ALBEE AVENUE                         ,            ,10312, 1 , -   , 1 ," 8,000 "," 1,332 ",1965,1,A2," 662,500 ",9/23/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6320,12, ,A2,115 DOWNES AVENUE                        ,            ,10312, 1 , -   , 1 ," 8,000 ", 936 ,1950,1,A2," 880,000 ",9/27/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6320,22, ,A2,133 DOWNES AVENUE                        ,            ,10312, 1 , -   , 1 ," 5,000 "," 1,125 ",1965,1,A2," 234,000 ",3/23/2017
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6321,4, ,A2,23 ALVINE AVENUE                         ,            ,10312, 1 , -   , 1 ," 4,400 ", 988 ,1935,1,A2," 380,000 ",3/13/2017
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6321,11, ,A1,11 ALVINE AVENUE                         ,            ,10312, 1 , -   , 1 ," 7,250 "," 3,040 ",2004,1,A1, 1 ,5/23/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6323,3, ,A1,270 ALBEE AVENUE                         ,            ,10312, 1 , -   , 1 ," 4,000 "," 1,672 ",1975,1,A1," 520,000 ",3/28/2017
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6349,38, ,A1,115 BENNETT PLACE                        ,            ,10312, 1 , -   , 1 ," 9,960 "," 5,400 ",1985,1,A1," 1,125,000 ",9/9/2016
